"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","969","cy.wait() - wait for a specific route","Waiting","Mon Nov 04 03:17:07 EET 2024","passed","Mon Nov 04 03:17:08 EET 2024","","","",""
"","156","cy.readFile() - read file contents","Files","Mon Nov 04 03:15:22 EET 2024","passed","Mon Nov 04 03:15:22 EET 2024","","","",""
"","724",".blur() - blur off a DOM element","Actions","Mon Nov 04 03:14:22 EET 2024","passed","Mon Nov 04 03:14:23 EET 2024","","","",""
"","672",".submit() - submit a form","Actions","Mon Nov 04 03:14:24 EET 2024","passed","Mon Nov 04 03:14:25 EET 2024","","","",""
"","258","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","Mon Nov 04 03:16:19 EET 2024","passed","Mon Nov 04 03:16:20 EET 2024","","","",""
"","198","cy.getAllCookies() - get all browser cookies","Cookies","Mon Nov 04 03:15:08 EET 2024","passed","Mon Nov 04 03:15:08 EET 2024","","","",""
"","265",".not() - remove DOM elements from set of DOM elements","Traversal","Mon Nov 04 03:16:31 EET 2024","passed","Mon Nov 04 03:16:31 EET 2024","","","",""
"","211",".debug() - enable or disable debugging","Cypress APIs","Mon Nov 04 03:15:15 EET 2024","passed","Mon Nov 04 03:15:15 EET 2024","","Cypress.Cookies","",""
"","1823","cy.intercept() - route responses to matching requests","Network Requests","Mon Nov 04 03:15:55 EET 2024","passed","Mon Nov 04 03:15:57 EET 2024","","","",""
"","1088","displays two todo items by default","example to-do app","Mon Nov 04 03:14:05 EET 2024","passed","Mon Nov 04 03:14:06 EET 2024","","","",""
"","139","pass your own callback function to should()","Assertions","Mon Nov 04 03:14:52 EET 2024","passed","Mon Nov 04 03:14:52 EET 2024","","Explicit Assertions","",""
"","552",".children() - get child DOM elements","Traversal","Mon Nov 04 03:16:27 EET 2024","passed","Mon Nov 04 03:16:28 EET 2024","","","",""
"","218","cy.clock() - control time in the browser","Spies, Stubs, and Clock","Mon Nov 04 03:16:13 EET 2024","passed","Mon Nov 04 03:16:13 EET 2024","","","",""
"","795","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","Mon Nov 04 03:16:10 EET 2024","passed","Mon Nov 04 03:16:10 EET 2024","","","",""
"","132","finds element by class name regex","Assertions","Mon Nov 04 03:14:52 EET 2024","passed","Mon Nov 04 03:14:53 EET 2024","","Explicit Assertions","",""
"","146",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Mon Nov 04 03:15:16 EET 2024","passed","Mon Nov 04 03:15:16 EET 2024","","Cypress.dom","",""
"","133","assert - assert shape of an object","Assertions","Mon Nov 04 03:14:53 EET 2024","passed","Mon Nov 04 03:14:53 EET 2024","","Explicit Assertions","",""
"","400",".add() - create a custom command","Cypress APIs","Mon Nov 04 03:15:14 EET 2024","passed","Mon Nov 04 03:15:15 EET 2024","","Cypress.Commands","",""
"","170","Get environment variables","Cypress APIs","Mon Nov 04 03:15:16 EET 2024","passed","Mon Nov 04 03:15:16 EET 2024","","Cypress.env()","",""
"","537",".as() - alias a DOM element for later use","Aliasing","Mon Nov 04 03:14:45 EET 2024","passed","Mon Nov 04 03:14:45 EET 2024","","","",""
"","378",".trigger() - trigger an event on a DOM element","Actions","Mon Nov 04 03:14:34 EET 2024","passed","Mon Nov 04 03:14:35 EET 2024","","","",""
"","435","cy.writeFile() - write to a file","Files","Mon Nov 04 03:15:22 EET 2024","passed","Mon Nov 04 03:15:23 EET 2024","","","",""
"","131","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Mon Nov 04 03:15:36 EET 2024","passed","Mon Nov 04 03:15:36 EET 2024","","Cypress.Screenshot","",""
"","2699",".click() - click on a DOM element","Actions","Mon Nov 04 03:14:25 EET 2024","passed","Mon Nov 04 03:14:28 EET 2024","","","",""
"","116","Get current version of Cypress being run","Cypress APIs","Mon Nov 04 03:15:16 EET 2024","passed","Mon Nov 04 03:15:16 EET 2024","","Cypress.version","",""
"","293","can check off an item as completed","example to-do app","Mon Nov 04 03:14:07 EET 2024","passed","Mon Nov 04 03:14:07 EET 2024","","","",""
"","291",".prevAll() - get all previous sibling DOM elements","Traversal","Mon Nov 04 03:16:33 EET 2024","passed","Mon Nov 04 03:16:33 EET 2024","","","",""
"","766","cy.request() - pass result to the second request","Network Requests","Mon Nov 04 03:15:53 EET 2024","passed","Mon Nov 04 03:15:54 EET 2024","","","",""
"","154","expect - make an assertion about a specified subject","Assertions","Mon Nov 04 03:14:52 EET 2024","passed","Mon Nov 04 03:14:52 EET 2024","","Explicit Assertions","",""
"","1377",".uncheck() - uncheck a checkbox element","Actions","Mon Nov 04 03:14:31 EET 2024","passed","Mon Nov 04 03:14:32 EET 2024","","","",""
"","319","cy.getCookies() - get browser cookies for the current domain","Cookies","Mon Nov 04 03:15:07 EET 2024","passed","Mon Nov 04 03:15:08 EET 2024","","","",""
"","510","can delete all completed tasks","example to-do app","Mon Nov 04 03:14:09 EET 2024","passed","Mon Nov 04 03:14:09 EET 2024","","with a checked task","",""
"","129","matches unknown text between two elements","Assertions","Mon Nov 04 03:14:53 EET 2024","passed","Mon Nov 04 03:14:53 EET 2024","","Explicit Assertions","",""
"","3687","cy.viewport() - set the viewport size and dimension","Viewport","Mon Nov 04 03:16:51 EET 2024","passed","Mon Nov 04 03:16:55 EET 2024","","","",""
"","134","Get underlying OS name","Cypress APIs","Mon Nov 04 03:15:16 EET 2024","passed","Mon Nov 04 03:15:16 EET 2024","","Cypress.platform","",""
"","233","cy.clearAllCookies() - clear all browser cookies","Cookies","Mon Nov 04 03:15:09 EET 2024","passed","Mon Nov 04 03:15:09 EET 2024","","","",""
"","438","cy.request() with query parameters","Network Requests","Mon Nov 04 03:15:53 EET 2024","passed","Mon Nov 04 03:15:53 EET 2024","","","",""
"","147","Get CPU architecture name of underlying OS","Cypress APIs","Mon Nov 04 03:15:15 EET 2024","passed","Mon Nov 04 03:15:15 EET 2024","","Cypress.arch","",""
"","180","yields the value yielded by the last Cypress command inside","Connectors","Mon Nov 04 03:15:02 EET 2024","passed","Mon Nov 04 03:15:02 EET 2024","",".then()","",""
"","447",".dblclick() - double click on a DOM element","Actions","Mon Nov 04 03:14:28 EET 2024","passed","Mon Nov 04 03:14:28 EET 2024","","","",""
"","166","should return an error with invalid data","API Testing for ClickUp GetGoals Endpoint","Mon Nov 04 10:44:40 EET 2024","passed","Mon Nov 04 10:44:40 EET 2024","","","",""
"","766","best practices - selecting elements","Querying","Mon Nov 04 03:16:04 EET 2024","passed","Mon Nov 04 03:16:05 EET 2024","","","",""
"","515","cy.getCookie() - get a browser cookie","Cookies","Mon Nov 04 03:15:07 EET 2024","passed","Mon Nov 04 03:15:07 EET 2024","","","",""
"","215","cy.contains() - query DOM elements with matching content","Querying","Mon Nov 04 03:16:04 EET 2024","passed","Mon Nov 04 03:16:04 EET 2024","","","",""
"","406",".should() - make an assertion about the current subject","Assertions","Mon Nov 04 03:14:51 EET 2024","passed","Mon Nov 04 03:14:52 EET 2024","","Implicit Assertions","",""
"","818","should return error for unauthorized access","API Testing for ClickUp GetGoals Endpoint","Mon Nov 04 10:25:59 EET 2024","failed","Mon Nov 04 10:26:00 EET 2024","","","",""
"","374",".each() - iterate over an array of elements","Connectors","Mon Nov 04 03:15:00 EET 2024","passed","Mon Nov 04 03:15:01 EET 2024","","","",""
"","506","can filter for uncompleted tasks","example to-do app","Mon Nov 04 03:14:07 EET 2024","passed","Mon Nov 04 03:14:08 EET 2024","","with a checked task","",""
"","166","cy.url() - get the current URL","Location","Mon Nov 04 03:15:28 EET 2024","passed","Mon Nov 04 03:15:28 EET 2024","","","",""
"","1158",".as() - alias a route for later use","Aliasing","Mon Nov 04 03:14:45 EET 2024","passed","Mon Nov 04 03:14:46 EET 2024","","","",""
"","1300",".select() - select an option in a <select> element","Actions","Mon Nov 04 03:14:32 EET 2024","passed","Mon Nov 04 03:14:34 EET 2024","","","",""
"","160","cy.root() - query the root DOM element","Querying","Mon Nov 04 03:16:04 EET 2024","passed","Mon Nov 04 03:16:04 EET 2024","","","",""
"","1333",".check() - check a checkbox or radio element","Actions","Mon Nov 04 03:14:29 EET 2024","passed","Mon Nov 04 03:14:30 EET 2024","","","",""
"","1528","cy.go() - go back or forward in the browser's history","Navigation","Mon Nov 04 03:15:40 EET 2024","passed","Mon Nov 04 03:15:42 EET 2024","","","",""
"","297","cy.hash() - get the current URL hash","Location","Mon Nov 04 03:15:27 EET 2024","passed","Mon Nov 04 03:15:27 EET 2024","","","",""
"","108","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","Mon Nov 04 03:16:13 EET 2024","passed","Mon Nov 04 03:16:13 EET 2024","","","",""
"","229",".invoke() - invoke a function on the current subject","Connectors","Mon Nov 04 03:15:01 EET 2024","passed","Mon Nov 04 03:15:01 EET 2024","","","",""
"","327","cy.focused() - get the DOM element that has focus","Misc","Mon Nov 04 03:15:34 EET 2024","passed","Mon Nov 04 03:15:34 EET 2024","","","",""
"","266","should create a goal successfully with valid data","API Testing for ClickUp GetGoals Endpoint","Mon Nov 04 10:44:40 EET 2024","passed","Mon Nov 04 10:44:40 EET 2024","","","",""
"","776","cy.fixture() - load a fixture","Files","Mon Nov 04 03:15:21 EET 2024","passed","Mon Nov 04 03:15:22 EET 2024","","","",""
"","259",".siblings() - get all sibling DOM elements","Traversal","Mon Nov 04 03:16:33 EET 2024","passed","Mon Nov 04 03:16:34 EET 2024","","","",""
"","260",".and() - chain multiple assertions together","Assertions","Mon Nov 04 03:14:52 EET 2024","passed","Mon Nov 04 03:14:52 EET 2024","","Implicit Assertions","",""
"","273",".parent() - get parent DOM element from DOM elements","Traversal","Mon Nov 04 03:16:31 EET 2024","passed","Mon Nov 04 03:16:31 EET 2024","","","",""
"","628","cy.visit() - visit a remote url","Navigation","Mon Nov 04 03:15:43 EET 2024","passed","Mon Nov 04 03:15:43 EET 2024","","","",""
"","795","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","Mon Nov 04 03:16:19 EET 2024","passed","Mon Nov 04 03:16:19 EET 2024","","","",""
"","276",".prev() - get previous sibling DOM element","Traversal","Mon Nov 04 03:16:32 EET 2024","passed","Mon Nov 04 03:16:32 EET 2024","","","",""
"","282","should return error for missing authorization header","API Testing for ClickUp GetGoals Endpoint","Mon Nov 04 10:44:39 EET 2024","passed","Mon Nov 04 10:44:39 EET 2024","","","",""
"","604","can add new todo items","example to-do app","Mon Nov 04 03:14:06 EET 2024","passed","Mon Nov 04 03:14:07 EET 2024","","","",""
"","1235","Cypress.Promise - instantiate a bluebird promise","Utilities","Mon Nov 04 03:16:43 EET 2024","passed","Mon Nov 04 03:16:44 EET 2024","","","",""
"","280","cy.exec() - execute a system command","Misc","Mon Nov 04 03:15:34 EET 2024","passed","Mon Nov 04 03:15:34 EET 2024","","","",""
"","5420","cy.wait() - wait for a specific amount of time","Waiting","Mon Nov 04 03:17:01 EET 2024","passed","Mon Nov 04 03:17:06 EET 2024","","","",""
"","243","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","Mon Nov 04 03:16:20 EET 2024","passed","Mon Nov 04 03:16:21 EET 2024","","","",""
"","526","can filter for completed tasks","example to-do app","Mon Nov 04 03:14:08 EET 2024","passed","Mon Nov 04 03:14:09 EET 2024","","with a checked task","",""
"","718","cy.request() - verify response using BDD syntax","Network Requests","Mon Nov 04 03:15:52 EET 2024","passed","Mon Nov 04 03:15:53 EET 2024","","","",""
"","246","cy.clearCookie() - clear a browser cookie","Cookies","Mon Nov 04 03:15:08 EET 2024","passed","Mon Nov 04 03:15:09 EET 2024","","","",""
"","1253","cy.request() - make an XHR request","Network Requests","Mon Nov 04 03:15:51 EET 2024","passed","Mon Nov 04 03:15:52 EET 2024","","","",""
"","421","Get and set configuration options","Cypress APIs","Mon Nov 04 03:15:15 EET 2024","failed","Mon Nov 04 03:15:15 EET 2024","","Cypress.config()","",""
"","245","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","Mon Nov 04 03:16:21 EET 2024","passed","Mon Nov 04 03:16:21 EET 2024","","","",""
"","161","cy.wrap() - wrap an object","Misc","Mon Nov 04 03:15:34 EET 2024","passed","Mon Nov 04 03:15:34 EET 2024","","","",""
"","5090",".type() - type into a DOM element","Actions","Mon Nov 04 03:14:17 EET 2024","passed","Mon Nov 04 03:14:22 EET 2024","","","",""
"","212",".first() - get first DOM element","Traversal","Mon Nov 04 03:16:29 EET 2024","passed","Mon Nov 04 03:16:29 EET 2024","","","",""
"","165","Get current spec information","Cypress APIs","Mon Nov 04 03:15:16 EET 2024","passed","Mon Nov 04 03:15:17 EET 2024","","Cypress.spec","",""
"","237","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","Mon Nov 04 03:16:20 EET 2024","passed","Mon Nov 04 03:16:20 EET 2024","","","",""
"","373",".scrollIntoView() - scroll an element into view","Actions","Mon Nov 04 03:14:34 EET 2024","passed","Mon Nov 04 03:14:34 EET 2024","","","",""
"","235","Cypress.minimatch - test out glob patterns against strings","Utilities","Mon Nov 04 03:16:42 EET 2024","passed","Mon Nov 04 03:16:43 EET 2024","","","",""
"","278",".prevUntil() - get all previous sibling DOM elements until el","Traversal","Mon Nov 04 03:16:33 EET 2024","passed","Mon Nov 04 03:16:33 EET 2024","","","",""
"","2540","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","Mon Nov 04 03:16:10 EET 2024","passed","Mon Nov 04 03:16:13 EET 2024","","","",""
"","197","should retrieve goals successfully","API Testing for ClickUp GetGoals Endpoint","Mon Nov 04 10:44:40 EET 2024","passed","Mon Nov 04 10:44:40 EET 2024","","","",""
"","708","Cypress.Blob - blob utilities and base64 string conversion","Utilities","Mon Nov 04 03:16:42 EET 2024","passed","Mon Nov 04 03:16:42 EET 2024","","","",""
"","207","yields the original subject without return","Connectors","Mon Nov 04 03:15:02 EET 2024","passed","Mon Nov 04 03:15:02 EET 2024","",".then()","",""
"","840",".clear() - clears an input or textarea element","Actions","Mon Nov 04 03:14:23 EET 2024","passed","Mon Nov 04 03:14:24 EET 2024","","","",""
"","130","cy.title() - get the title","Window","Mon Nov 04 03:17:14 EET 2024","passed","Mon Nov 04 03:17:14 EET 2024","","","",""
"","585",".end() - end the command chain","Misc","Mon Nov 04 03:15:33 EET 2024","passed","Mon Nov 04 03:15:33 EET 2024","","","",""
"","328","cy.window() - get the global window object","Window","Mon Nov 04 03:17:13 EET 2024","passed","Mon Nov 04 03:17:14 EET 2024","","","",""
"","159","cy.setCookie() - set a browser cookie","Cookies","Mon Nov 04 03:15:08 EET 2024","passed","Mon Nov 04 03:15:08 EET 2024","","","",""
"","152","cy.fixture() or require - load a fixture","Files","Mon Nov 04 03:15:22 EET 2024","passed","Mon Nov 04 03:15:22 EET 2024","","","",""
"","1648","retries the should callback until assertions pass","Assertions","Mon Nov 04 03:14:53 EET 2024","passed","Mon Nov 04 03:14:55 EET 2024","","Explicit Assertions","",""
"","592",".nextAll() - get all next sibling DOM elements","Traversal","Mon Nov 04 03:16:30 EET 2024","passed","Mon Nov 04 03:16:30 EET 2024","","","",""
